id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,2022-05-19T00:00:00,1,Ростов,3913,Светлана,Орлова,6,Яблоко,3,420
2,2022-05-19T00:00:00,1,Ростов,7503,Константин,Попов,5,Яблоко молодильное,1,400
3,2022-05-19T00:00:00,0,Москва,7812,Анна,Козлова,1,Молоко 3%,4,480
4,2022-05-19T00:00:00,2,Ярославль,5808,Александр,Михайлов,11,Хлеб ржаной,3,60
5,2022-05-19T00:00:00,0,Москва,7515,Анна,Лебедева,1,Молоко 3%,1,120
6,2022-05-19T00:00:00,2,Ярославль,9001,Эдуард,Иванов,6,Яблоко,1,140
7,2022-05-19T00:00:00,2,Ярославль,701,Иван,Соколов,11,Хлеб ржаной,1,20
8,2022-05-19T00:00:00,1,Ростов,2907,Петр,Новиков,6,Яблоко,5,700
9,2022-05-19T00:00:00,1,Ростов,5814,Оксана,Козлова,3,Устройство для нагревания табака Трубка Мира,1,500
10,2022-05-19T00:00:00,1,Ростов,6207,Алексей,Сидоров,11,Хлеб ржаной,5,100
11,2022-05-19T00:00:00,0,Москва,5505,Александр,Попов,3,Устройство для нагревания табака Трубка Мира,5,2500
12,2022-05-19T00:00:00,1,Ростов,10,Александра,Великая,7,Средство для мытья посуды,1,200
13,2022-05-19T00:00:00,1,Ростов,4514,Екатерина,Лебедева,7,Средство для мытья посуды,5,1000
14,2022-05-19T00:00:00,1,Ростов,8710,Снежанна,Павлова,4,Сахар песок,2,100
15,2022-05-19T00:00:00,1,Ростов,8210,Снежанна,Морозова,10,Томаты,2,100
16,2022-05-19T00:00:00,2,Ярославль,813,Александра,Козлова,2,Молоко 5%,3,450
17,2022-05-19T00:00:00,0,Москва,9713,Надежда,Павлова,1,Молоко 3%,2,240
18,2022-05-19T00:00:00,0,Москва,2711,Ольга,Павлова,0,Молоко 1%,4,400
19,2022-05-19T00:00:00,0,Москва,2808,Петр,Михайлов,10,Томаты,4,200
20,2022-05-19T00:00:00,0,Москва,8107,Геннадий,Петров,4,Сахар песок,4,200
21,2022-05-19T00:00:00,0,Москва,9406,Эдуард,Кузнецов,1,Молоко 3%,1,120
22,2022-05-19T00:00:00,2,Ярославль,2011,Ольга,Великая,5,Яблоко молодильное,2,800
23,2022-05-19T00:00:00,1,Ростов,3500,Олег,Попов,4,Сахар песок,5,250
24,2022-05-19T00:00:00,2,Ярославль,3803,Олег,Михайлов,11,Хлеб ржаной,1,20
25,2022-05-19T00:00:00,1,Ростов,2903,Петр,Новиков,5,Яблоко молодильное,3,1200
26,2022-05-19T00:00:00,2,Ярославль,1505,Евгений,Попов,3,Устройство для нагревания табака Трубка Мира,2,1000
27,2022-05-19T00:00:00,2,Ярославль,4706,Сергей,Соколов,5,Яблоко молодильное,1,400
28,2022-05-19T00:00:00,0,Москва,1716,Евгения,Павлова,6,Яблоко,2,280
29,2022-05-19T00:00:00,1,Ростов,8412,Снежанна,Алексеева,6,Яблоко,5,700
30,2022-05-19T00:00:00,0,Москва,8214,Снежанна,Морозова,11,Хлеб ржаной,1,20
31,2022-05-19T00:00:00,2,Ярославль,9209,Эдуард,Сидоров,7,Средство для мытья посуды,1,200
32,2022-05-19T00:00:00,1,Ростов,1715,Евгения,Павлова,5,Яблоко молодильное,1,400
33,2022-05-19T00:00:00,0,Москва,1210,Евгения,Морозова,7,Средство для мытья посуды,1,200
34,2022-05-19T00:00:00,1,Ростов,4418,Екатерина,Алексеева,1,Молоко 3%,4,480
35,2022-05-19T00:00:00,0,Москва,8201,Геннадий,Сидоров,6,Яблоко,1,140
36,2022-05-19T00:00:00,0,Москва,6304,Алексей,Смирнов,3,Устройство для нагревания табака Трубка Мира,2,1000
37,2022-05-19T00:00:00,2,Ярославль,9615,Надежда,Егорова,1,Молоко 3%,5,600
38,2022-05-19T00:00:00,1,Ростов,3208,Олег,Сидоров,7,Средство для мытья посуды,3,600
39,2022-05-19T00:00:00,2,Ярославль,9305,Эдуард,Смирнов,1,Молоко 3%,3,360
40,2022-05-19T00:00:00,1,Ростов,7410,Анна,Алексеева,7,Средство для мытья посуды,1,200
41,2022-05-19T00:00:00,0,Москва,7205,Константин,Сидоров,9,Ручка шариковая,4,180
42,2022-05-19T00:00:00,2,Ярославль,8904,Геннадий,Новиков,6,Яблоко,1,140
43,2022-05-19T00:00:00,2,Ярославль,904,Иван,Новиков,2,Молоко 5%,3,450
44,2022-05-19T00:00:00,1,Ростов,6600,Алексей,Васильев,11,Хлеб ржаной,2,40
45,2022-05-19T00:00:00,1,Ростов,5500,Александр,Попов,7,Средство для мытья посуды,4,800
46,2022-05-19T00:00:00,0,Москва,6106,Алексей,Петров,4,Сахар песок,5,250
47,2022-05-19T00:00:00,0,Москва,2602,Петр,Васильев,8,Лампочка LED,4,1200
48,2022-05-19T00:00:00,1,Ростов,9504,Эдуард,Попов,6,Яблоко,4,560
49,2022-05-19T00:00:00,1,Ростов,5106,Александр,Петров,9,Ручка шариковая,3,135
50,2022-05-19T00:00:00,2,Ярославль,1208,Евгений,Сидоров,4,Сахар песок,5,250
51,2022-05-19T00:00:00,2,Ярославль,2211,Ольга,Морозова,3,Устройство для нагревания табака Трубка Мира,3,1500
52,2022-05-19T00:00:00,2,Ярославль,6509,Алексей,Попов,11,Хлеб ржаной,4,80
53,2022-05-19T00:00:00,0,Москва,4108,Сергей,Петров,11,Хлеб ржаной,3,60
54,2022-05-19T00:00:00,1,Ростов,9419,Надежда,Алексеева,10,Томаты,5,250
55,2022-05-19T00:00:00,2,Ярославль,6503,Алексей,Попов,4,Сахар песок,5,250
56,2022-05-19T00:00:00,0,Москва,4615,Екатерина,Егорова,10,Томаты,1,50
57,2022-05-19T00:00:00,0,Москва,916,Александра,Орлова,7,Средство для мытья посуды,2,400
58,2022-05-19T00:00:00,1,Ростов,3908,Олег,Новиков,2,Молоко 5%,1,150
59,2022-05-19T00:00:00,1,Ростов,1915,Евгения,Орлова,1,Молоко 3%,5,600
60,2022-05-19T00:00:00,0,Москва,6115,Елизавета,Федорова,10,Томаты,1,50
61,2022-05-19T00:00:00,0,Москва,7203,Константин,Сидоров,0,Молоко 1%,4,400
62,2022-05-19T00:00:00,2,Ярославль,6105,Алексей,Петров,10,Томаты,4,200
63,2022-05-19T00:00:00,1,Ростов,9604,Эдуард,Васильев,0,Молоко 1%,3,300
64,2022-05-19T00:00:00,1,Ростов,6802,Алексей,Михайлов,0,Молоко 1%,5,500
65,2022-05-19T00:00:00,2,Ярославль,5313,Оксана,Волкова,6,Яблоко,5,700
66,2022-05-19T00:00:00,2,Ярославль,4416,Екатерина,Алексеева,6,Яблоко,1,140
67,2022-05-19T00:00:00,2,Ярославль,6112,Елизавета,Федорова,2,Молоко 5%,3,450
68,2022-05-19T00:00:00,1,Ростов,10,Александра,Великая,3,Устройство для нагревания табака Трубка Мира,3,1500
69,2022-05-19T00:00:00,2,Ярославль,8209,Геннадий,Сидоров,7,Средство для мытья посуды,1,200
70,2022-05-19T00:00:00,1,Ростов,5709,Александр,Соколов,2,Молоко 5%,2,300
71,2022-05-19T00:00:00,1,Ростов,9812,Надежда,Козлова,6,Яблоко,4,560
72,2022-05-19T00:00:00,0,Москва,6314,Елизавета,Волкова,2,Молоко 5%,2,300
73,2022-05-19T00:00:00,1,Ростов,8516,Снежанна,Лебедева,0,Молоко 1%,1,100
74,2022-05-19T00:00:00,2,Ярославль,1404,Евгений,Кузнецов,1,Молоко 3%,4,480
75,2022-05-19T00:00:00,0,Москва,4114,Екатерина,Федорова,6,Яблоко,4,560
